url_a,url_b,title_a,title_b,shared_query,shared_keywords,jaccard_sim,shared_count,words_a,words_b,cat_a,cat_b
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","Software de Reservaciones para Spas en Santo Domingo | Bookido","Software de Reservaciones para Barberías en Santo Domingo | Bookido","software reservaciones santo domingo bookido","software|reservaciones|santo|domingo|bookido","0.714","5","1297","1457","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-la-romana/","Software de Reservaciones para Salones de Belleza en Santiago RD | Bookido","Software de Reservaciones para Salones de Belleza en La Romana RD | Bookido","software reservaciones salones belleza bookido","software|reservaciones|salones|belleza|bookido","0.714","5","2034","2008","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santiago/","Software de Reservaciones para Spas en Santiago RD | Bookido","Software de Reservaciones para Barberías en Santiago RD | Bookido","software reservaciones santiago bookido","software|reservaciones|santiago|bookido","0.667","4","1251","1419","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-republica-dominicana/","https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-santiago/","El Mejor Sistema POS para Restaurantes en RD | RestaurantOS Pro","Sistema POS para Restaurantes en Santiago RD | RestaurantOS Pro","sistema pos restaurantes restaurantos","sistema|pos|restaurantes|restaurantos","0.667","4","1604","1412","gastronomia","gastronomia"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","Software para Negocios en La Romana — Reservaciones y POS | Gestióndo","Software para Negocios en La Vega — Reservaciones y POS | Gestióndo","software negocios reservaciones pos","software|negocios|reservaciones|pos","0.667","4","1481","1485","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","Software para Negocios en La Romana — Reservaciones y POS | Gestióndo","Software para Negocios en Santiago RD — Reservaciones y POS | Gestióndo","software negocios reservaciones pos","software|negocios|reservaciones|pos","0.667","4","1481","1511","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","Software para Negocios en La Vega — Reservaciones y POS | Gestióndo","Software para Negocios en Santiago RD — Reservaciones y POS | Gestióndo","software negocios reservaciones pos","software|negocios|reservaciones|pos","0.667","4","1485","1511","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/extension-pestanas-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/lash-lifting-salon-rd/","Extensiones Pestañas RD: Precios y Técnicas | Gestióndo","Lash Lifting y Extensiones de Pestañas en RD — Precios y Técnicas","extensiones pestanas precios tecnicas","extensiones|pestanas|precios|tecnicas","0.667","4","1645","1671","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","Software de Reservaciones para Salones de Belleza en Santo Domingo | Bookido","Software de Reservaciones para Spas en Santo Domingo | Bookido","software reservaciones santo domingo bookido","software|reservaciones|santo|domingo|bookido","0.625","5","1770","1297","belleza-bienestar","belleza-bienestar"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","Software de Reservaciones para Salones de Belleza en Santo Domingo | Bookido","Software de Reservaciones para Barberías en Santo Domingo | Bookido","software reservaciones santo domingo bookido","software|reservaciones|santo|domingo|bookido","0.625","5","1770","1457","belleza-bienestar","belleza-bienestar"
