url_winner,url_loser,action,reason,shared_query,jaccard_sim,estimated_impact
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.714","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-la-romana/","DIFFERENTIATE","Geo-landings de ciudades distintas (santiago vs la-romana). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones salones belleza bookido","0.714","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santiago/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","software reservaciones santiago bookido","0.667","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-republica-dominicana/","https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-santiago/","DIFFERENTIATE","Geo-landings de ciudades distintas (republica-dominicana vs santiago). Cada página es válida — diferenciar contenido por ciudad.","sistema pos restaurantes restaurantos","0.667","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-romana vs la-vega). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.667","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-romana vs santiago). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.667","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-vega vs santiago). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.667","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/lash-lifting-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/extension-pestanas-salon-rd/","CONSOLIDATE","Misma intención y categoría — ""extensiones/lash lifting RD"". Ganadora: lash-lifting tiene mayor word count (1671w)","extensiones pestanas precios tecnicas","0.667","Alto — consolida autoridad de enlace"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones salones belleza bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-la-romana/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones salones belleza bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-lash-studio-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-lash-studio-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-clinica-estetica-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-clinica-estetica-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-punta-cana/","DIFFERENTIATE","Geo-landings de ciudades distintas (santiago vs punta-cana). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones salones belleza bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-puerto-plata/","DIFFERENTIATE","Geo-landings de ciudades distintas (santiago vs puerto-plata). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones salones belleza bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-punta-cana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-punta-cana/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","software reservaciones punta cana bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-punta-cana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-la-romana/","DIFFERENTIATE","Geo-landings de ciudades distintas (punta-cana vs la-romana). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones salones belleza bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-puerto-plata/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-la-romana/","DIFFERENTIATE","Geo-landings de ciudades distintas (puerto-plata vs la-romana). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones salones belleza bookido","0.625","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santiago/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones spas bookido","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","software reservaciones santiago bookido","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-republica-dominicana/","https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","sistema pos restaurantes restaurantos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-santo-domingo/","https://xn--gestindo-z3a.com/gastronomia/sistema-pos-restaurantes-santiago/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","sistema pos restaurantes restaurantos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-romana vs punta-cana). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-romana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-puerto-plata/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-romana vs puerto-plata). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-vega vs punta-cana). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-la-vega/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-puerto-plata/","DIFFERENTIATE","Geo-landings de ciudades distintas (la-vega vs puerto-plata). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santiago/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones barberias bookido","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santiago/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","software reservaciones santiago bookido","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-punta-cana/","DIFFERENTIATE","Geo-landings de ciudades distintas (santiago vs punta-cana). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones barberias bookido","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","DIFFERENTIATE","Geo-landings de ciudades distintas (santiago vs punta-cana). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santiago/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-puerto-plata/","DIFFERENTIATE","Geo-landings de ciudades distintas (santiago vs puerto-plata). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/brushing-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/unas-gel-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza precios tecnicas","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/brushing-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/manicure-permanente-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza precios tecnicas","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/brushing-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/coloracion-cabello-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza precios tecnicas","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/brushing-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/depilacion-cera-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza precios tecnicas","0.571","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-lash-studio-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.556","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-punta-cana/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones salones belleza bookido","0.556","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-clinica-estetica-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.556","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-puerto-plata/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones salones belleza bookido","0.556","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-lash-studio-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-clinica-estetica-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo bookido","0.556","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-punta-cana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-puerto-plata/","DIFFERENTIATE","Geo-landings de ciudades distintas (punta-cana vs puerto-plata). Cada página es válida — diferenciar contenido por ciudad.","software reservaciones salones belleza bookido","0.556","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-nail-studio-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software salones santo domingo bookido","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-lash-studio-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-nail-studio-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software studios santo domingo bookido","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-spa-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-veterinaria-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-clinica-estetica-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones clinicas bookido","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-punta-cana/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones barberias bookido","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-barberia-punta-cana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","software reservaciones punta cana","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software negocios reservaciones pos","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-puerto-plata/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software negocios reservaciones pos","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-puerto-plata/","DIFFERENTIATE","Geo-landings de ciudades distintas (punta-cana vs puerto-plata). Cada página es válida — diferenciar contenido por ciudad.","software negocios reservaciones pos","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/marketing-crecimiento/seo-local-negocio-rd/","https://xn--gestindo-z3a.com/marketing-crecimiento/seo-local-negocios-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","seo local aparecer google","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/marketing-crecimiento/google-maps-restaurante-rd/","https://xn--gestindo-z3a.com/marketing-crecimiento/seo-local-negocios-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","google maps aparecer primero","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/unas-gel-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/manicure-permanente-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza tecnicas precios","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/unas-gel-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/coloracion-cabello-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza tecnicas precios","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/unas-gel-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/depilacion-cera-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza tecnicas precios","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/manicure-permanente-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/coloracion-cabello-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza precios tecnicas","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/manicure-permanente-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/depilacion-cera-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza precios tecnicas","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/coloracion-cabello-salon-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/depilacion-cera-salon-rd/","DIFFERENTIATE","Geo-landings similares. Añadir 200+ palabras únicas sobre características del sector/barrio en cada ciudad.","salon belleza tecnicas precios","0.500","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo","0.444","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-lash-studio-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo","0.444","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-punta-cana/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-punta-cana/","DIFFERENTIATE","4 keywords compartidas. Diferenciar enfoque de contenido.","software reservaciones punta cana","0.444","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-clinica-estetica-santo-domingo/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-santo-domingo/","DIFFERENTIATE","Santo Domingo geo-landing — hub/spoke treatment en Fase 2","software reservaciones santo domingo","0.444","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/software-reservaciones-salon-belleza-puerto-plata/","https://xn--gestindo-z3a.com/belleza-bienestar/software-gestion-negocios-puerto-plata/","DIFFERENTIATE","4 keywords compartidas. Diferenciar enfoque de contenido.","software reservaciones puerto plata","0.444","Medio — separa intención, evita split de señales"
"https://xn--gestindo-z3a.com/belleza-bienestar/inventario-salon-belleza-rd/","https://xn--gestindo-z3a.com/belleza-bienestar/inventario-productos-salon-belleza-rd/","DIFFERENTIATE","4 keywords compartidas. Diferenciar enfoque de contenido.","inventario salon belleza control","0.444","Medio — separa intención, evita split de señales"
